R_um,D_um,s_um,C_GND_GND_F,C_feedline_feedline_F,C_island_island_F,C_GND_feedline_F,C_GND_island_F,C_feedline_island_F,row_sum_GND_F,row_sum_feedline_F,row_sum_island_F,missing_cap_GND_F,missing_cap_feedline_F,missing_cap_island_F
50,100,5,6.769e-13,1.559e-13,2.47e-14,-1.503e-13,-2.316e-14,-8.015e-16,5.034e-13,4.749e-15,7.34e-16,-5.034e-13,-4.749e-15,-7.34e-16
50,100,10,6.761e-13,1.563e-13,2.386e-14,-1.507e-13,-2.217e-14,-8.769e-16,5.033e-13,4.735e-15,8.201e-16,-5.033e-13,-4.735e-15,-8.201e-16
50,100,20,6.754e-13,1.567e-13,2.338e-14,-1.508e-13,-2.143e-14,-1.068e-15,5.032e-13,4.767e-15,8.818e-16,-5.032e-13,-4.767e-15,-8.818e-16
50,200,5,6.739e-13,1.532e-13,2.354e-14,-1.481e-13,-2.25e-14,-2.6e-16,5.033e-13,4.851e-15,7.833e-16,-5.033e-13,-4.851e-15,-7.833e-16
50,200,10,6.735e-13,1.533e-13,2.323e-14,-1.482e-13,-2.212e-14,-2.648e-16,5.032e-13,4.842e-15,8.362e-16,-5.032e-13,-4.842e-15,-8.362e-16
50,200,20,6.729e-13,1.535e-13,2.276e-14,-1.484e-13,-2.155e-14,-2.967e-16,5.03e-13,4.852e-15,9.182e-16,-5.03e-13,-4.852e-15,-9.182e-16
50,400,5,6.738e-13,1.53e-13,2.34e-14,-1.481e-13,-2.256e-14,-6.841e-17,5.031e-13,4.858e-15,7.68e-16,-5.031e-13,-4.858e-15,-7.68e-16
50,400,10,6.736e-13,1.53e-13,2.324e-14,-1.481e-13,-2.237e-14,-7.146e-17,5.032e-13,4.857e-15,7.955e-16,-5.032e-13,-4.857e-15,-7.955e-16
50,400,20,6.732e-13,1.531e-13,2.295e-14,-1.481e-13,-2.202e-14,-7.715e-17,5.03e-13,4.858e-15,8.528e-16,-5.03e-13,-4.858e-15,-8.528e-16
100,200,5,6.778e-13,1.545e-13,2.818e-14,-1.492e-13,-2.616e-14,-5.292e-16,5.024e-13,4.798e-15,1.493e-15,-5.024e-13,-4.798e-15,-1.493e-15
100,200,10,6.777e-13,1.547e-13,2.804e-14,-1.494e-13,-2.595e-14,-5.523e-16,5.024e-13,4.788e-15,1.538e-15,-5.024e-13,-4.788e-15,-1.538e-15
100,200,20,6.777e-13,1.551e-13,2.787e-14,-1.497e-13,-2.567e-14,-5.982e-16,5.023e-13,4.804e-15,1.599e-15,-5.023e-13,-4.804e-15,-1.599e-15
100,400,5,6.767e-13,1.534e-13,2.77e-14,-1.484e-13,-2.599e-14,-1.437e-16,5.023e-13,4.823e-15,1.57e-15,-5.023e-13,-4.823e-15,-1.57e-15
100,400,10,6.777e-13,1.534e-13,2.822e-14,-1.485e-13,-2.67e-14,-1.241e-16,5.025e-13,4.812e-15,1.392e-15,-5.025e-13,-4.812e-15,-1.392e-15
100,400,20,6.769e-13,1.535e-13,2.781e-14,-1.485e-13,-2.61e-14,-1.487e-16,5.023e-13,4.814e-15,1.565e-15,-5.023e-13,-4.814e-15,-1.565e-15
200,400,5,7.326e-13,1.543e-13,9.64e-14,-1.487e-13,-8.787e-14,-8.052e-16,4.96e-13,4.763e-15,7.726e-15,-4.96e-13,-4.763e-15,-7.726e-15
200,400,10,7.321e-13,1.544e-13,9.59e-14,-1.489e-13,-8.727e-14,-8.161e-16,4.96e-13,4.755e-15,7.816e-15,-4.96e-13,-4.755e-15,-7.816e-15
200,400,20,7.33e-13,1.558e-13,9.559e-14,-1.503e-13,-8.685e-14,-8.294e-16,4.959e-13,4.697e-15,7.912e-15,-4.959e-13,-4.697e-15,-7.912e-15
